Month,Population,Entropy,Dominant,Intermediate,Subordinate
0,8,1.0986,0,0,0
1,10,1.0986,5,3,2
2,13,1.0986,7,4,2
3,15,1.0986,7,5,3
4,23,1.0986,11,8,4
5,27,1.0986,14,8,5
6,36,1.0986,18,10,8
7,51,1.0986,25,15,11
8,59,1.0986,26,19,14
9,76,1.0986,33,24,19
10,98,1.0986,41,32,25
11,125,1.0986,48,41,36
12,155,1.0986,58,53,44
13,197,1.0986,76,69,52
14,245,1.0986,96,88,61
15,302,1.0986,119,106,77
16,376,1.0986,146,136,94
17,468,1.0986,179,169,120
18,566,0.6931,218,201,147
19,564,0.6931,218,200,146
20,560,0.6931,215,202,143
21,554,0.6931,213,202,139
22,549,0.6931,211,200,138
23,547,0.6931,211,198,138
24,542,0.6931,210,198,134
25,546,0.6931,212,200,134
26,547,0.6931,212,201,134
27,547,0.6931,212,201,134
28,545,0.6931,214,200,131
29,539,0.6931,210,201,128
30,531,0.0,210,195,126
31,392,0.0,158,150,84
32,291,0.0,119,114,58
33,219,0.0,87,90,42
34,161,0.0,63,74,24
35,116,0.0,45,52,19
36,92,0.0,37,41,14
37,69,0.0,26,33,10
38,53,0.0,21,26,6
39,35,0.0,12,20,3
40,28,0.0,8,17,3
41,18,0.0,6,10,2
42,13,0.0,5,7,1
43,10,0.0,4,5,1
44,5,0.0,3,1,1
45,4,0.0,3,0,1
46,3,0.0,2,0,1
47,3,0.0,2,0,1
48,2,0.0,2,0,0
49,2,0.0,2,0,0
50,2,0.0,2,0,0
51,1,0.0,1,0,0
52,1,0.0,1,0,0
53,0,0.0,0,0,0
54,0,0.0,0,0,0
55,0,0.0,0,0,0
56,0,0.0,0,0,0
57,0,0.0,0,0,0
58,0,0.0,0,0,0
59,0,0.0,0,0,0
60,0,0.0,0,0,0
